NEST_NUMBER,NESTING_TERRITORY,FINDER,VALID_NEST,FOUND_DATE,FOUND_STAGE,FD_YEAR,FD_MONTH,FD_DAY,ATTEMPT,LAT,LONG,LOCATION_DESCRIPTION,NEST_IN,ON,SPECIES,SCI_NAME,NEST_HT_M,TREE_HT_M,LADDER,NATURAL_LANDSCAPE,CANOPY_WIDTH_M,DIST_FROM_TRUNK_M,DIR_FROM_TRUNK,DIR_FR_TRUNK_DEGREES,1_M_HABITAT,100_M_HABITAT,DAD,MOM,HATCH_DATE,HD_YEAR,HD_MONTH,HD_DAY,HD_PRECISION,FLEDGE_DATE,HOW_KNOWN,VISITS,EGGS,EGGS_DATE,CHICKS,CHICKS_DATE,UNHATCHED_EGGS,BAND,BAND_DATE,BAND_AGE,c1,c2,c3,c4,c5,c6,POSTBAND_CHECK,PBC_DATE,ANY_FLEDGED,FLEDGED,FLEDGE_CHECK_DATE,FLEDGE_CHECKS,IF40CHECK,IF40DATE,if1,if2,if3,if4,if5,if6,DF1,DF2,DF3,W1,W2,B1,B2,NEST_FATE,FAIL_DATE,FAIL_PRECISION,FAIL_STAGE,Comments,check,Nest_ID,NESTING_TERRITORY,UC_MONITORED,UC_ACTIVE,LAYING_MONITORED,LAYING_ACTIVE,INC_MONITORED,INC_ACTIVE,NESTLING_MONITORED,NESTLING_ACTIVE,BAND_MONITORED,BAND_ACTIVE,FLEDGELINGS_MONITORED,FLEDGLINGS_ACTIVE,IF_MONITORED,IF_ACTIVE
LOSH-2019-17,CYPRES,KRM,TRUE,6-Apr-19,incubating,2019,4,6,1,33.8319,-79.046,"Facing NE at intersection of Marina Dr / Elm St, 3rd Live Oak on the same side of the street as the stopsign (in front of Joey Dogz)",Tree,Living,LIVOAK,Quercus_virginiana,4,6.5,,Landscape,5,1,S,,"Sidewalk, road, lawn","Resturant, road, lawn, tennis court / park, trees",brrm,yymb,17-Apr-19,2019,4,17,7,,,4,5,10-Apr-19,0,-,-,0,-,-,,,,,,,-,-,0,0,-,-,,,,,,,,,,,,,,,,FA,12-Apr-19,,,,1,LOSH-2019-17,CYPRES,0,1,0,1,1,1,1,0,1,0,1,0,1,0
LOSH-2019-18,BUSBEE,CEH,TRUE,6-Apr-19,under construction,2019,4,6,1,33.8288,-79.0571,"In the median, the 4th tree (a live oak) from the rightmost tree. Or 7th piece of vegatation from the rightmost tree. Has a little shrub on both side of tree.",Tree,Living,LIVOAK,Quercus_virginiana,2.5,5,,Landscape,4,0.33,NE,,Lawn,"Highway, trees, dog park, drained lake",mwrg,ggmi,28-Apr-19,2019,4,28,1,19-May-19,branchers,18,5,17-Apr-19,5,1-May-19,0,5,7-May-19,10,e--m,e--m,e--m,e--m,e--m,,1,8-May-19,1,5,,,,,,,,,,,,,,,,e--m,,FL,,,,,1,LOSH-2019-18,BUSBEE,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LOSH-2019-19,TEKNOW,TLE,TRUE,7-Apr-19,,2019,4,7,1,33.7982,-78.9908,"In a tree next to, sometimes roped off entrance to paper company lot. Directly acorss from Teknoware entrance to parking lot. On the left if standing on the road side, 1st tree from the curb. Nest is in top right of tree if standing nearest curb. ",Tree,Living,LIVOAK,Quercus_virginiana,6,8,,Natural ,9,2,SE,,"bushes, shrubbery","grass, trees, parking lot, building, road",emww,UB,26-Apr-19,2019,4,26,1,,,15,5,21-Apr-19,4,4-May-19,,3,5-May-19,9,y--m,y--m,y--m,,,,9,14-May-19,1,1,,,,,,,,,,,,,,,,,,FL,,,,,1,LOSH-2019-19,TEKNOW,0,1,1,1,1,1,1,1,1,1,1,1,1,1
LOSH-2019-20,BIGLOT,Sudie_Roberts,outside our area,16-Apr-19,,2019,4,16,,33.8457,-79.0673,"As you head from the Big Lots parking lot (far left) toward the fields, there's a bradford pear on your left under a telephone pole just before the dirt road along the fields",Tree,Living,BRAPEA,Pyrus_calleryana,2.5,5.5,,Natural,6,0,N,,"grass, gravel","grass (ball fields) gravel parking lot and road, paved parking lot, woodlot.",UB,UB,9-Apr-19,2019,4,9,1,,,2,,-,-,-,-,2,17-Apr-19,9,m--a,m--a,,,,,1,18-Apr-19,1,1,24-May-19,,,,,,,,,,,,,,,,,FL,,,,,1,LOSH-2019-20,BIGLOT,0,1,0,1,0,1,1,1,1,1,0,0,0,0
LOSH-2019-21,MATTRE,CEH,TRUE,26-Apr-19,,2019,4,26,,33.759131,-78.969619,"In a small oak, one of two, in a parking lot island in front of Mattress Firm (the tree closer to Mattress Firm)",Tree,Living,LIVOAK,Quercus_virginiana,3.5,4.5,,Landscape,2,0,,,parking lot,"parking lot, grass, ditch, buildings",m---,ccmg,21-May-19,2019,5,21,1,,,,5,10-May-19,4,26-May-19,1,3,3-Jun-19,13,r--m,rzzm,r--m,,,,2,5-Jun-19,1,3,,,,,,,,,,,,,,,,r--m,,FL,,,,,1,LOSH-2019-21,MATTRE,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LOSH-2019-22,MARINA,Scott_Hartley,TRUE,23-Apr-19,,2019,4,23,,33.748762,-78.842995,,Tree,Living,LIVOAK,Quercus_virginiana,,,,Landscape,,,,,grass,"road, grass, shrubs, more pavement (tennis court), house",,,8-Apr-19,2019,4,8,3,26-Apr-19,saw fledgies 4/28,1,,-,-,-,-,0,-,-,,,,,,,-,-,1,4,28-Apr-19,,,,,,,,,,,,,,,,,FL,,,,,1,LOSH-2019-22,MARINA,0,1,0,1,0,1,0,1,0,1,1,1,0,0
LOSH-2019-23,COXFER,KRM,TRUE,13-May-19,,2019,5,13,2,33.8072,-79.0088,"Looking at the big satellite from the water tower, the only pine tree directly to the right of the telephone pole in front of the sattelite on the left side of the tree. ",Tree,Living,LOBPIN,Pinus_taeda,10,17,,Natural,7,5,W,,"Shrubs, grass","Rocks, grass, tall grass and weeds, trees, electical equipment, powerlines, buildings, shrubs, drainage ditch, barbed wire parking lots",UB,embw,29-May-19,2019,5,29,3,,,8,,21-May-19,0,-,-,0,-,-,,,,,,,-,-,0,0,-,-,,,,,,,,,,,,,,,,FA,7-Jun-19,,,,1,LOSH-2019-23,COXFER,0,1,1,1,1,1,1,0,1,0,1,0,1,0
LOSH-2019-24,SEACOA,KRM,TRUE,3-May-19,incubating,2019,5,3,2,33.8077,-79.0126,"When pulling into the back entrace of the church parking lot, the first tree on the left side of the road just as you enter the parking lot. ",Tree,Living,LIVOAK,Quercus_virginiana,3,8,,Landscape,7,1,E,,Mulch,"Grass, trees, pond, highway, church, parkinglot",omuu,myry,31-May-19,2019,5,31,0,,,12,5,21-May-19,4,5-Jun-19,1,2,9-Jun-19,9,mr--,mr--,,,,,1,10-Jun-19,0,0,-,-,,,,,,,,,,,,,,,,FA,10-Jun-19,,C,,1,LOSH-2019-24,SEACOA,0,1,0,1,1,1,1,1,1,0,1,0,1,0
LOSH-2019-25,WPDEDI,KRM,TRUE,11-May-19,incubating,2019,5,11,2,33.8005,-79.0009,First big bald cypress when going to intersection of Husted Rd and Atlantic Ave. Has 2 green electrical boxes adjacent to it.,Tree,Living,BALCYP,Taxodium_distichum,4,13,,Landscape,6,4.5,NE,,grass,"Grass, road, trees, building, parking lot, satellite dishes",mugg,yame,20-May-19,2019,5,20,1,,,6,5,14-May-19,5,21-May-19,0,0,-,-,,,,,,,-,-,0,0,-,-,,,,,,,,,,,,,,,,FA,30-May-19,,C,,1,LOSH-2019-25,WPDEDI,0,1,0,1,1,1,1,1,1,0,1,0,1,0
LOSH-2019-26,CYPRES,KRM,TRUE,13-May-19,incubating,2019,5,13,2,33.8337,-79.0463,"Facing north at intersection of Laurel and 2nd ave, the big tree at the closest corner of the field across the street. ",Tree,Living,LIVOAK,Quercus_virginiana,8.5,8.5,,Landscape,7.5,3,SE,,Mulch,"Grass, road, trees, buildings, bridge, river",brrm,yymb,21-May-19,2019,5,21,2,,,,,-,?,-,?,0,-,-,,,,,,,-,-,1,2,,,,,,,,,,,,,,,,,,FL,,,,,1,LOSH-2019-26,CYPRES,0,1,0,1,1,1,1,1,1,1,1,1,1,1
LOSH-2019-27,DISCGO,ABH,TRUE,14-May-19,nestlings,2019,5,14,2,33.79785,-79.003976,In yaupon holly (between the two big oaks under the wires). 1/2 way up on 501 side.,Tree,Living,YAUHOL,Ilex_vomitorium,5.2,10,,Landscape,6,2.5,E,,grass,"grass, roads, shrubs",ayym,wwmr,21-May-19,2019,5,21,0,8-Jun-19,branchers,,5,15-May-19,5,31-May-19,0,5,31-May-19,10,b--m,b--m,b--m,b--m,b--m,,1,1-Jun-19,1,3,,,,,,,,,,,,,,,,,,FL,,,,,1,LOSH-2019-27,DISCGO,0,1,0,1,0,1,1,1,1,1,1,1,1,1
LOSH-2019-28,ROOMST,CEH,failed early,4-May-19,UC or Lay,2019,5,4,,33.703118,-78.925187,"Live Oak on ""peninsula"" sticking into the parking lot toward Dick's.  One tree over, 10m from, first RTG nest.",Tree,Living,LIVOAK,Quercus_virginiana,4,5.5,,Landscape,4.5,2,N,,mulch,"parking lot, grass, road",,,8-Jun-19,2019,6,8,15,,,3,2,15-May-19,0,-,0,0,-,-,,,,,,,-,-,0,0,-,-,,,,,,,,,,,,,,,,FA,18-May-19,,,,1,LOSH-2019-28,ROOMST,1,1,1,1,1,0,1,0,1,0,1,0,1,0
LOSH-2019-29,TEKNOW,KRM,TRUE,19-May-19,under construction,2019,5,19,2,33.7968,-78.9913,First Willow oak to the right of the pull of area across the street from the fire station,Tree,Living,WILOAK,Quercus_phellos,3.5,6,,Landscape,5,2,E,,Grass,"Trees, field, road, chain link fence, building, firestation",emww,UB,11-Jun-19,2019,6,11,1,,,,5,29-May-19,4,20-Jun-19,1,4,21-Jun-19,9,mu--,mu--,mu--,mu--,,,3,24-Jun-19,1,2,,,,,,,,,,,mu--,mu--,,,,,,FL,,,,,1,LOSH-2019-29,TEKNOW,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LOSH-2019-30,SCHOLA,CEH,TRUE,19-May-19,incubating,2019,5,19,2,33.797108,-79.005799,"Live Oak near center of disc golf course.  From #8 basket look towards the middle of the course, first live oak.",Tree,Living,LIVOAK,Quercus_virginiana,4,4.5,,Landscape,3,0,,,mulch,"Grass (disc golf course), parking lot, roads.",iiom,mrrr,4-Jun-19,2019,6,4,7,,,4,6,21-May-19,0,-,1,0,-,-,,,,,,,-,-,0,0,-,-,,,,,,,,,,,,,,,,FA,24-May-19,,E,,1,LOSH-2019-30,SCHOLA,0,1,0,1,1,1,1,0,1,0,1,0,1,0
LOSH-2019-31,HGTCCC,KRM,TRUE,22-May-19,incubating,2019,5,22,2,33.7935,-79.0016,"Looking at building 1100 from the pkg lot, the second tree, a live oak, to the right of the middle walkway to the pkg lot. Or the first tree with a blue rope holding it up to the right of this middle walkway. 3/4 up and adjacent to center. ",Tree,Living,LIVOAK,Quercus_virginiana,3.5,4.25,,Landscape,1.5,0,SE,,mulch,"grass, road, pkg lot, buildings, pond, trees, telephone wire",wmbb,eymo,10-Jun-19,2019,6,10,2,,,8,5,26-May-19,0,-,-,0,-,-,,,,,,,-,-,0,0,-,-,,,,,,,,,,,,,,,,FA,10-Jun-19,,E,,1,LOSH-2019-31,HGTCCC,0,1,0,1,1,1,1,0,1,0,1,0,1,0
LOSH-2019-32,COOKOU,KRM,TRUE,23-May-19,laying,2019,5,23,,33.7876,-78.9949,"Looking at the Wendys sign from the japanese hibachi building, the second tree to the right of the sign. The first branch a little more than halfway up. ",Tree,Living,REDMAP,Acer_rubrum,3,5.5,,Landscape,2,0.33,N,,mulch,"grass, buildings, road, trees, telephone wire, parkinglot",ggmg,mrir,10-Jun-19,2019,6,10,1,1-Jul-19,branchers,,5,26-May-19,4,13-Jun-19,,4,20-Jun-19,10,--ym,--ym,--ym,--ym,,,4,24-Jun-19,1,3,,,,,,,,,,,,,,,,,,FL,,,,,1,LOSH-2019-32,COOKOU,0,1,1,1,1,1,1,1,1,1,1,1,1,1
LOSH-2019-33,LOWESP,KRM,TRUE,24-May-19,incubating,2019,5,24,2,33.7925,-78.9979,"Looking at the exit onto 501 from lowes near the pond, the third tree to the left, in the side facing the road.",Tree,Living,WILOAK,Quercus_phellos,4.25,8,,Landscape,7,3,SW,,Grass,"mulch, road, pond, trees, telephone wires, buildings, fences",emor,pomy,4-Jun-19,2019,6,4,1,28-Jun-19,branchers,,6,26-May-19,3?,7-Jun-19,1,0,-,-,,,,,,,-,-,1,2,2-Jul-19,,,,,,,,,,,,,,,,,FL,,,,,1,LOSH-2019-33,LOWESP,0,1,0,1,1,1,1,1,1,1,1,1,1,1
LOSH-2019-34,COSTCO,CEH,TRUE,25-May-19,incubating,2019,5,25,2,33.70257,-78.919004,"There's a road through the parking lot from the corner of Belk toward the Walmart intersection. Where that driveway hits the perimeter road, two big live oaks on an island on your right.  Leftmost of the two oaks.  2m off center towards the field/Walmart.",Tree,Living,LIVOAK,Quercus_virginiana,3.5,7,,Landscape,7.5,2,E,,Grass,"Parking lot, lawn, road",ppmb,umrw,26-May-19,2019,5,26,6,,,2,5,25-May-19,0,-,-,0,-,-,,,,,,,-,-,0,0,-,-,,,,,,,,,,,,,,,,FA,28-May-19,,E,,1,LOSH-2019-34,COSTCO,0,1,0,1,1,1,1,0,1,0,1,0,1,0
LOSH-2019-35,METGLA,CEH,TRUE,26-May-19,incubating,2019,5,26,,33.79346,-78.99601,"There's a row of trees and hedges on the back (ditch) side of Lowes.  This is the northmost tree, a largish live oak.  Branch extending toward the ditch/tracks.",Tree,Living,LIVOAK,Quercus_virginiana,5,6.5,,Natural,8,4,NE,,grass,"Building, pavement, rr tracks, pond, grass, trees, shrubs",erom,rwmp,11-Jun-19,2019,6,11,1,28-Jun-19,brancher,,5,9-Jun-19,1,14-Jun-19,4,1,21-Jun-19,11,wrma,,,,,,3,24-Jun-19,1,1,28-Jun-19,,,,,,,,,,,,,,,wrma,,FL,,,,,1,LOSH-2019-35,METGLA,0,1,0,1,1,1,1,1,1,1,1,1,1,1
LOSH-2019-36,RIVERF,KRM,TRUE,27-May-19,under construction,2019,5,27,3,33.831432,-79.046285,"The east side of the marina dr elm st intersection, the live oak right on the corner with the RR tracks behind it and a trash can adjacent to it",Tree,Living,LIVOAK,Quercus_virginiana,5.5,6,,Landscape,4.75,3.5,W,,Dirt,"Sidewalk, roads, resturants, grass, trees, tennis court, powerlines",aawm,gmyr,19-Jun-19,2019,6,19,1,,,,5,9-Jun-19,5,23-Jun-19,0,0,-,-,,,,,,,-,-,1,2,,,,,,,,,,,,,,,,,,FL,,,,,1,LOSH-2019-36,RIVERF,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LOSH-2019-37,ROOMST,CEH,TRUE,25-May-19,unclear,2019,5,25,,33.704105,-78.925926,"Straggly sticky live oak that is along the perimeter road, fourth in from the corner of the RTG field closest to ggum's pond.",Tree,Living,LIVOAK,Quercus_virginiana,,6,,Landscape,4,,,,,,,,9-Jun-19,2019,6,9,15,,,6,,-,0,-,-,0,-,-,,,,,,,-,-,0,0,-,-,,,,,,,,,,,,,,,,FA,4-Jun-19,,,,1,LOSH-2019-37,ROOMST,1,1,1,,1,0,1,0,1,0,1,0,1,0
LOSH-2019-38,IMSTOP,KRM,TRUE,1-Jun-19,laying,2019,6,1,2,33.8001,-78.9943,"If standing at the end of the cintas pkg lot looking at IM fields, the live oak with a white post right next to it. Not quite in front of the volleyball court fence. ",Tree,Living,LIVOAK,Quercus_virginiana,2.5,8,,Landscape,5.5,2,SE,,grass,"Pkg lot, road, field, trees, shrubs, building, fence, sand",myaa,bbcm,19-Jun-19,2019,6,19,1,9-Jul-19,branchers,,4,7-Jun-19,4,28-Jun-19,0,4,30-Jun-19,11,mo--,mo--,mo--,mo--,,,feeding,1-Jul-19,1,3,,,,,,,,,,,mo--,mo--,,,,,,FL,,,,,1,LOSH-2019-38,IMSTOP,0,1,1,1,1,1,1,1,1,1,1,1,1,1
LOSH-2019-39,CMWSSS,KRM,TRUE,3-Jun-19,under construction,2019,6,3,2,33.7994,-78.9978,"If looking at the metal roofing company sign from the rd, the 4th tree (or 2nd cedar) to the left of the BBB pkg lot sign (or metal roofing company sign). ",Tree,Living,REDCED,Juniperus_virginiana,4,4.5,,Landscape,1.5,0,S,,grass,"trees, building, rd, pkg lot, fence, shrubs",moyy,oaam,28-Jun-19,2019,6,28,5,,,4,,-,0,-,-,0,-,-,,,,,,,-,-,0,0,-,-,,,,,,,,,,,,,,,,FA,12-Jun-19,,UC/CO,,1,LOSH-2019-39,CMWSSS,1,1,1,0,1,0,1,0,1,0,1,0,1,0
LOSH-2019-40,WPDEDI,KRM,TRUE,1-Jun-19,under construction,2019,6,1,3,33.8008,-79.0005,"In same shrub as their first nest, on the side of the strub the metal pole in on.",Shrub,Living,WAXPRI,Ligustrum_japonicum,2,3,,Landscape,5.5,2,NE,,"wires, mulch","grass, trees, bushes, building, road, parking  lot",mugg,yame,25-Jun-19,2019,6,25,1,,,11,4,14-Jun-19,2,28-Jun-19,-,0,-,-,,,,,,,-,-,0,0,-,-,,,,,,,,,,,,,,,,FA,4-Jul-19,,C,,1,LOSH-2019-40,WPDEDI,1,1,1,1,1,1,1,1,1,0,1,0,1,0
LOSH-2019-41,SCHOLA,KRM,TRUE,3-Jun-19,laying,2019,6,3,3,33.796989,-79.005587,"Stading at the tee for hole 8, looking at hole 8, the first skinny live oak in your line of sight.",Tree,Living,LIVOAK,Quercus_virginiana,5,5.5,,Landscape,2.5,0.33,S,,"mulch, dirt","grass, trees, shrubs, pkg lot, road, powerlines",iiom,mrrr,18-Jun-19,2019,6,18,1,,,,5,14-Jun-19,4,20-Jun-19,1,5,28-Jun-19,10,--my,--my,--my,--my,--my,,feeding,29-Jun-19,1,3,,,,,,,,,,,,,,,,,,FL,,,,,1,LOSH-2019-41,SCHOLA,0,1,1,1,1,1,1,1,1,1,1,1,1,1
LOSH-2019-42,ABUELO,KRM,TRUE,9-Jun-19,laying,2019,6,9,2,33.7044,-78.9243,"Looking at the side of Abuelos that is facing 17, the 2nd island to the left from the right side of the building (or the line of palm trees). In the smaller of the two live oaks in this island. ",Tree,Living,LIVOAK,Quercus_virginiana,4,7,,Landscape,4.5,1.5,E,,"Mulch,dirt","Pkg lot, trees, resturant, mall",,bbbm,24-Jun-19,2019,6,24,5,,,2,4,9-Jun-19,0,-,-,0,-,-,,,,,,,-,-,0,0,-,-,,,,,,,,,,,,,,,,FA,11-Jun-19,,E,,1,LOSH-2019-42,ABUELO,0,1,1,1,1,0,1,0,1,0,1,0,1,0
LOSH-2019-43,SEACOA,KRM,TRUE,14-Jun-19,under construction,2019,6,14,3,33.8074,-79.0126,"In the row of crepe myrtles going to the pond, the second one in the right row if looking from pkg lot.",Tree,Living,CREMYR,Lagerstroemia_sp,3.5,4,,Landscape,2,0.5,NE,,"Mulch, grass","grass, trees, pond, pkg lot, rds, church",omuu,myry,7-Jul-19,2019,7,7,1,,,9,4,28-Jun-19,4,12-Jul-19,0,0,-,-,,,,,,,-,-,0,0,-,-,,,,,,,,,,,,,,,,FA,14-Jul-19,,C,,1,LOSH-2019-43,SEACOA,1,1,1,1,1,1,1,1,1,0,1,0,1,0
LOSH-2019-44,COXFER,KRM,TRUE,3-Jul-19,incubating,2019,7,3,3,33.8071,-79.0087,"Looking at the big satellite from the water tower, the only pine tree directly to the right of the telephone pole in front of the satellite, in the side of the tree facing you. ",Tree,Living,LOBPIN,Pinus_taeda,10,17,,Natural,7,5.5,SE,,"Shrubs, grass","Rocks, grass, tall grass and weeds, trees, electical equipment, powerlines, buildings, shrubs, drainage ditch, barbed wire parking lots",UB,embw,10-Jul-19,2019,7,10,2,,,6,3,6-Jul-19,2,19-Jul-19,,0,-,-,,,,,,,-,-,0,0,-,-,,,,,,,,,,,,,,,,FA,22-Jul-19,,C,,1,LOSH-2019-44,COXFER,0,1,0,1,1,1,1,1,1,0,1,0,1,0
LOSH-2019-NF,ABUELO,,fledglings,,,,,,1,,,,na,na,na,na,,,,,,,,,,,ggum,bbbm,8-Apr-19,2019,4,8,5,,,1,,-,-,-,-,1,9-Jun-19,IF,ym--,UB,UB,,,,-,-,1,3,25-May-19,,,,,,,,,,,,,,,,,FL,,,,,1,LOSH-2019-NF,ABUELO,,,,,,,,,,,,,,
LOSH-2019-NF.2,BILLBO,,FALSE,,,,,,,,,unknown but suspected...,,,,,,,,,,,,,,,UB,moby,18-May-19,2019,5,18,3,,,,,,?,-,-,1,6-Jul-19,IF,mwog,,,,,,-,-,1,2,-,-,,,,,,,,,,,,,,,,FL,,,,,1,LOSH-2019-NF.2,BILLBO,,,,,,,,,,,,,,
LOSH-2020-01,LOWESP,CEH,TRUE,10-Feb-20,under construction,2020,2,10,1,33.7922268,-78.997713,Sixth oak from the driveway to 501. upper left if you look from the parking lot side.,Tree,Living,WILOAK,Quercus_phellos,6,8,20' ext,Landscape,12,3,S,,"Mulch, grass","Parking lot, grass, highway",emor,pomy,22-Mar-20,2020,3,22,1,,,,6,19-Mar-20,6,27-Mar-20,0,6,3-Apr-20,12,uerm,ubrm,oerm,yerm,ggrm,gurm,YES,3-Apr-20,1,,,,4,1-May-20,,,,,,,,,,,,,,FL,,,,,1,LOSH-2020-01,LOWESP,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LOSH-2020-02,TANGER,KRM,TRUE,15-Feb-20,under construction,2020,2,15,1,33.751229,-78.960369,"Tanger parking lot, in the small lot, #17 just north of the central driveway to 501. In the island in the center of the lot, in the rightmost tree as you face 501.",Tree,Living,LIVOAK,Quercus_virginiana,2.8,4.5,12' ext,Landscape,3.5,0,N,,"mulch, shrub","parking lot, grass, highway, stores",bomb,amxx,26-Mar-20,2020,3,26,0,,,,5,19-Mar-20,4,2-Apr-20,1,3,6-Apr-20,11,rurm,o-rm,b-rm,,,,YES,8-Apr-20,0,,,,,,,,,,,,,,,,,,,FA,13-Apr-20,,,,1,LOSH-2020-02,TANGER,1,1,1,1,1,1,1,1,1,1,1,0,1,0
LOSH-2020-03,501WAL,CEF,TRUE,29-Feb-20,under construction,2020,2,29,1,33.77855,-78.987055,"Facing 501 in the Murphy's gas station, there are two trees to the left of the leftmost parking space in front of you.  In the left of the two trees, parking lot side.",Tree,Living,LIVOAK,Quercus_virginiana,3.7,5,12' ext,Landscape,3.8,0.8,S,,"mulch, shrub","grass, buildings, parking lot, Highway",cccm,aema,10-Apr-20,2020,4,10,1,,,,6,2-Apr-20,,,,4,21-Apr-20,12,gyrm,uzrm,rwrm,iurm,,,,,1,,,,2,4-Jun-20,,,,,,,,,,,,,,FL,,,,,1,LOSH-2020-03,501WAL,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LOSH-2020-04,DISCGO,KRM,TRUE,10-Mar-20,completed,2020,3,10,1,33.797473,-79.003753,In the middle of the tree big shrubs by the birck CCU sign by the intersection of 501 and univ. blvd.,Shrub,Living,AMEHOL,Ilex_opacum_cultivar,3.75,4,Step?,Landscape,3,0.33,NW,,mulch,"grass, trees, highway, powerlines",ayym,remy,8-Apr-20,2020,4,8,1,,,,5,27-Mar-20,,,,5,19-Apr-20,11,gwrm,ryrm,eerm,byrm,rorm,,,,1,,,,3,18-May-20,,,,,,,,,,,,,,FL,,,,,1,LOSH-2020-04,DISCGO,0,1,1,1,1,1,1,1,1,1,1,1,1,1
LOSH-2020-05,METGLA,CEH,failed early,11-Mar-20,under construction,2020,3,11,1,33.794244,-78.996201,"Nest was destroyed before I got full nest card data.  Only nest in a pure vine tangle, so some of the data does not apply.  In the hedgerow separating the main tracks from the Metglas property, north of the gap the track spur goes through, and more or less opposite the first telephone pole.  Standing on the metglas side of the hedgerow, with the telephone pole directly to your right, look 5 paces ahead on your right to the first really dense clump of hedge.  The nest is up high in there.",Vine,Living,GREENB,Smilax_sp,2.5,3,na,Natural,,,,,dirt,"grass, train tracks, ditch, building, road",erom,rwmp,4-Apr-20,2020,4,4,7,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,FA,,,,,1,LOSH-2020-05,METGLA,1,1,1,0,1,0,1,0,1,0,1,0,1,0
LOSH-2020-06,RIVERF,KRM,failed early,11-Mar-20,??,2020,3,11,1,33.830472,-79.045855,"Going into the back parking lot of the old tennis courts, the live oak diectly on the left overhanging the sidewalk, same as 2018 first nesting attempt tree.",Tree,Living,LIVEOA,Quercus_virginiana,5.5,8.5,20' ext,Landscape,10,4,E,,"dirt, mulch","Parking lot, grass, dirt, trees, road",aawm,gmyr,28-Mar-20,2020,3,28,7,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,FA,22-Mar-20,,eggs,,1,LOSH-2020-06,RIVERF,,,,,1,1,,,,,,,,
LOSH-2020-07,OAKFOR,KRM,TRUE,14-Mar-20,under construction,2020,3,14,1,33.703563,-78.90968,If standing in the 501 village parking lot looking at the blue 501 village sign (that is by the middle entrace to this parking lot) the first live oak to the left of the sign (or entrace) overhanging the sidewalk. ,Tree,Living,LIVEOA,Quercus_virginiana,3,6.5,Step?,Landscape,7.5,1,SW,,"Dirt, grass, shrubs","Parking lot, trees, shrubs, grass",mega,UB,6-Apr-20,2020,4,6,1,,,,5,27-Mar-20,5,15-Apr-20,,5,17-Apr-20,11,ybrm,yyrm,borm,uorm,errm,,,,1,,,,3,17-May-20,,,,,,,,,,,,,,FL,,,,,1,LOSH-2020-07,OAKFOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LOSH-2020-08,HGTCCC,CEH,TRUE,14-Mar-20,under construction,2020,3,14,1,33.793694,-79.001613,"In the big round live oak south of the 1100 building.  On the driveway/big parking lot side, 1/3 of the way up.",Tree,Living,LIVEOA,Quercus_virginiana,4,9,20' ext,Landscape,8,1.8,SE,,Grass,"Grass, Parking lot, Building, Road",wmbb,mary,17-Apr-20,2020,4,17,2,,,,5,6-Apr-20,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,FA,23-Apr-20,,,,1,LOSH-2020-08,HGTCCC,1,1,1,1,1,1,1,0,1,0,1,0,1,0
LOSH-2020-09,SCHOLA,CEH,TRUE,14-Mar-20,incubating,2020,3,14,1,33.794193,-79.006844,"In the third small live oak, south of the CCU public safety building, near the anenometer. On the S. side of that small tree.",Tree,Living,LIVEOA,Quercus_virginiana,4,8,Step?,Landscape,7,0.5,SW,,mulch,"Parking lot, Ditch, grass, buildings",iiom,mrrr,2-Apr-20,2020,4,2,0,,,,6,22-Mar-20,6,inferred,,6,13-Apr-20,11,uwrm,rbrm,ourm,bbrm,yurm,rerm,YES,13-Apr-20,1,,,,2,12-May-20,,,,,,,,,,,,,,FL,,,,,1,LOSH-2020-09,SCHOLA,0,1,1,1,1,1,1,1,1,1,1,1,1,1
LOSH-2020-10,CYPRES,KRM,TRUE,16-Mar-20,under construction,2020,3,16,1,33.834228,-79.04458,"If entering the Bonfire resturant parking lot from 2nd ave, the live oak on the left right as you enter, the nest is overhanging the entrace to parking lot.",Tree,Living,LIVEOA,Quercus_virginiana,5,7.5,,Landscape,10.5,3.5,SW,,"mulch, rocks","Parking lot, shrubs, trees, road, grass, RR tracks",rmgg,yymb,8-Apr-20,2020,4,8,1,,,,5,24-Mar-20,,,,1,19-Apr-20,11,eorm,,,,,,,,0,,,,,,,,,,,,,,,,,,,FA,23-Apr-20,,,,1,LOSH-2020-10,CYPRES,1,1,1,1,1,1,1,1,1,1,1,0,1,0
